etwas beeinflussen;influencer quelque chose
das Gehalt;le salaire
etwas untersuchen;faire de la recherche
die Umfrage;le sondage
ausmachen;représenter
berucksichtigen;prendre en compte
der Ausgleich;l'équilibrage
abziehen;enlever, soustraire
aufs Gemut schlagen;jouer sur le moral
abseits (+genitif);à coté de
die Weiterbildung;la formation continue
die Aufstiegschancen;les possibilités d'évolution
der Einfluss;l'influence
die Bewertung;l'évaluation
ubel;mal, mauvais
die Sorge;le souci
die Abweschlung;l'acitivté diversifiée
etwas verdienen; gagner un salaire
im Durchschnitt;en moyenne
etwas feststellen;constater quelque chose
die Arbeitslosigkeit;le chomage
die Stelle;le poste
