Werden;Devenir
Kommen;Venir
Ankommen;Arriver
Verlassen;Partir
Fahren;Conduire
Halten;Tenir, retenir, arreter
Schlafen;Dormir
Erhalten;Recevoir
Fangen;Attraper
Anfangen;Commencer
Fallen;Tomber
Vergessen;Oublier
Sterben;Mourir
Nehmen;Prendre
Geschehen;Se produire, se réaliser, avoir lieu
Helfen;Aider
Lesen;Lire
Geben;Donner
Treffen;Rencontrer
Sehen;Voir
Können;Savoir
Müssen;Devoir
Wollen;Vouloir
Wissen;Connaitre
Tun;Faire
Erkennen;Reconnaitre
Beschreiben;Décrire
Schreien;Crier
Denken;Penser
Entscheiden;Décider
Verstehen;Comprendre
Finden;Trouver
Singen;Chanter
Lügen;Mentir
Anbieten;Offir
Bringen;Apporter
Brennen;Bruler
Schneiden;Couper
Beginnen;Commencer
Gewinnen;Gagner
Bleiben;Rester
Rennen;Courir
Verlieren;Perdre
Rufen;Appeler
Heißen;Signifier
Handeln;Agir
Besuchen;Visiter
Reisen;Voyager
Brauchen;Necessiter
Legen;Placer
Zeigen;Montrer
Hören;Entendre
Schauen;Regarder
Sagen;Dire
Erklären;Expliquer
Erzählen;Raconter
Fragen;Demander
Reden;Parler
Wiederholen;Répeter
Lehren;Enseigner
Studieren;Étudier
Ausruhen;Se reposer
Erlauben;Autoriser
Glauben;Croire
Hoffen;Espérer
Tanzen;Dancer
Bewegen;Bouger
Kämpfen;Combattre
Auswählen;Choisir
Hassen;Haïr
Lieben;Aimer
Bevorzugen;Préférer
Lachen;Rire
Weinen;Pleurer
Versuchen;Essayer
Üben;S'entrainer
Berühren;Toucher
Drücken;Presser
Leben;Vivre
Fühlen;Ressentir
Spielen;Jouer
Kaufen;Acheter
Verkaufen;Vendre
Kosten;Couter
Benutzen;Utiliser
Verbessern;Améliorer
Lächeln;Sourir
Antworten;Répondre
